34177 35574
34177 30 0
34178 31 0
34179 32 0
34180 33 0
34181 34 0
34182 35 0
34183 36 0
34184 37 0
34185 38 0
34186 39 0
34187 40 0
34188 41 0
34189 30 1
34190 31 1
34191 32 1
34192 33 1
34193 34 1
34194 35 1
34195 36 1
34196 37 1
34197 38 1
34198 39 1
34199 40 1
34200 41 1
34201 30 2
34202 31 2
34203 32 2
34204 33 2
34205 34 2
34206 35 2
34207 36 2
34208 37 2
34209 38 2
34210 39 2
34211 40 2
34212 41 2
34213 30 3
34214 31 3
34215 32 3
34216 33 3
34217 34 3
34218 35 3
34219 36 3
34220 37 3
34221 38 3
34222 39 3
34223 40 3
34224 41 3
34225 30 4
34226 31 4
34227 32 4
34228 33 4
34229 34 4
34230 35 4
34231 36 4
34232 37 4
34233 38 4
34234 39 4
34235 40 4
34236 41 4
34237 30 5
34238 31 5
34239 32 5
34240 33 5
34241 34 5
34242 35 5
34243 36 5
34244 37 5
34245 38 5
34246 39 5
34247 40 5
34248 41 5
34249 30 6
34250 31 6
34251 32 6
34252 33 6
34253 34 6
34254 35 6
34255 36 6
34256 37 6
34257 38 6
34258 39 6
34259 40 6
34260 41 6
34261 30 7
34262 31 7
34263 32 7
34264 33 7
34265 34 7
34266 35 7
34267 36 7
34268 37 7
34269 38 7
34270 39 7
34271 40 7
34272 41 7
34273 30 8
34274 31 8
34275 32 8
34276 33 8
34277 34 8
34278 35 8
34279 36 8
34280 37 8
34281 38 8
34282 39 8
34283 40 8
34284 41 8
34285 30 9
34286 31 9
34287 32 9
34288 33 9
34289 34 9
34290 35 9
34291 36 9
34292 37 9
34293 38 9
34294 39 9
34295 40 9
34296 41 9
34297 30 10
34298 31 10
34299 32 10
34300 33 10
34301 34 10
34302 35 10
34303 36 10
34304 37 10
34305 38 10
34306 39 10
34307 40 10
34308 41 10
34309 30 11
34310 31 11
34311 32 11
34312 33 11
34313 34 11
34314 35 11
34315 36 11
34316 37 11
34317 38 11
34318 39 11
34319 40 11
34320 41 11
34321 30 12
34322 31 12
34323 32 12
34324 33 12
34325 34 12
34326 35 12
34327 36 12
34328 37 12
34329 38 12
34330 39 12
34331 40 12
34332 41 12
34333 30 13
34334 31 13
34335 32 13
34336 33 13
34337 34 13
34338 35 13
34339 36 13
34340 37 13
34341 38 13
34342 39 13
34343 40 13
34344 41 13
34345 30 14
34346 31 14
34347 32 14
34348 33 14
34349 34 14
34350 35 14
34351 36 14
34352 37 14
34353 38 14
34354 39 14
34355 40 14
34356 41 14
34357 30 15
34358 31 15
34359 32 15
34360 33 15
34361 34 15
34362 35 15
34363 36 15
34364 37 15
34365 38 15
34366 39 15
34367 40 15
34368 41 15
34369 30 16
34370 31 16
34371 32 16
34372 33 16
34373 34 16
34374 35 16
34375 36 16
34376 37 16
34377 38 16
34378 39 16
34379 40 16
34380 41 16
34381 30 17
34382 31 17
34383 32 17
34384 33 17
34385 34 17
34386 35 17
34387 36 17
34388 37 17
34389 38 17
34390 39 17
34391 40 17
34392 41 17
34393 30 18
34394 31 18
34395 32 18
34396 33 18
34397 34 18
34398 35 18
34399 36 18
34400 37 18
34401 38 18
34402 39 18
34403 40 18
34404 41 18
34405 30 19
34406 31 19
34407 32 19
34408 33 19
34409 34 19
34410 35 19
34411 36 19
34412 37 19
34413 38 19
34414 39 19
34415 40 19
34416 41 19
34417 30 20
34418 31 20
34419 32 20
34420 33 20
34421 34 20
34422 35 20
34423 36 20
34424 37 20
34425 38 20
34426 39 20
34427 40 20
34428 41 20
34429 30 21
34430 31 21
34431 32 21
34432 33 21
34433 34 21
34434 35 21
34435 36 21
34436 37 21
34437 38 21
34438 39 21
34439 40 21
34440 41 21
34441 30 22
34442 31 22
34443 32 22
34444 33 22
34445 34 22
34446 35 22
34447 36 22
34448 37 22
34449 38 22
34450 39 22
34451 40 22
34452 41 22
34453 30 23
34454 31 23
34455 32 23
34456 33 23
34457 34 23
34458 35 23
34459 36 23
34460 37 23
34461 38 23
34462 39 23
34463 40 23
34464 41 23
34465 30 24
34466 31 24
34467 32 24
34468 33 24
34469 34 24
34470 35 24
34471 36 24
34472 37 24
34473 38 24
34474 39 24
